,coef,p-value
const,-1.5480265647226874,0.566
vpp0ch0,-1.5033737220248975e-06,0.0
vpp1ch1,1.2894559267653676e-06,0.1
vpp2ch2,6.948294457425553e-06,0.002
vpp3ch3,-1.3226724711342012e-05,0.0
UVC,1.458827576304479e-06,0.0
Rch,2.169516220129561e-05,0.0
Gch,-2.853128721438101e-05,0.0
Bch,7.1356160412460275e-06,0.0
VR4,-0.011938534751950333,0.012
qpermax,11.172514154267994,0.0
sigmavis,2.598475831739087e-07,0.582
qilmax,19.110343553336016,0.0
